CDM project reference number,Unique project identifier (traceable with Google),Registration project title,Type of CDM project: PA/PoA,Project classification,Sectoral scope number(s),Methodologies used at registration,Project type (UNEP DTU),Project subtype (UNEP DTU),DOE,Start of validation,PA:Initial registration request/PoA:First CPA request,PA:Lastest registration request/PoA:Lastest CPA request,"Date of EB decision (see EB59 Annex 12, §25)",Registered or rejected,Simplified project status,Website project status,Type of crediting period,Start of first crediting period,End of first crediting period, Amount Of Reductions (PDD ex-ante) per year in CP1 (PoA based on the sum of curr ,Status of the second CP request,Second crediting period: renew date,Second crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP2 ,Start of Second crediting period,End of second crediting period,Status of the third CP request,Third crediting period: renew date,Third crediting period: renewed date, Amount Of Reductions (PDD ex-ante) per year in CP3 ,Start of third crediting period,End of third crediting period,List of host countries (ISO 2),UNFCCC region,LDC country,Country Region,SID country,Country subregion,First issuance,Lastest issuance, Total CERs issued , Count of issuances of CER , Count of issuances of CER for KP1 , Total CERs issued for KP1 , Count of issuances of CER for KP2 , Total CERs issued for KP2 , Installed capacity (MW elec/thermal) ,Kind of additional revenue, Total capital investment (USD) , Total O&M costs (USD/year) , Additional revenue (USD) , Estimated IRR benchmark , Estimated IRR excluding CERs , Estimated IRR including CERs ,Issuance (Para 218)/ Registration (Para 219),Last information provided on para. 218 and 219 of the PCP,Date of last information provided on Para. 218 and 219 of the PCP,Number of CPAs per host party (PoA),Amount of reduction per host party (PoA),Crediting type of the CPAs,Chronological number of registered CDM activity by country,Last communication with the Secretariat,Projects which cannot be renewed,Reporting date
4652,9CPDZSI5SBOU5BRBXV7BU1JIR4EHEX,"“6.65 MW Wind Energy Generation by M/s GTN Enterprises Limited” at Ganapathypalayam in Coimbatore, Radhapuram, Kvalakuruchi in Tirunelveli and Govindapuram in Erode district, Tamilnadu.",PA,SMALL,1,AMS-I.D. 17.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),30-12-09,05-04-11,19-10-12,08-01-13,19-10-12,End of crediting period,Registered,Fixed,19-10-12,18-10-22,"12,068",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6.65,None,"7,860,000",,,,,,,,,,,,IN(1043),2012m10,No,10-Oct-24
4670,58BT5YTARHHW0SVLYR2NW4WDYFVSR6,"Mumbai Metro One, India",PA,LARGE,7,ACM0016 2.0,Transport,Mode shift: road to rail,Swiss Association for Quality and Management Systems,21-07-10,12-04-11,04-10-11,28-12-11,04-10-11,End of crediting period,Registered,Fixed,04-10-11,03-10-21,"195,547",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,Sales other,"580,888,409","42,659,802","139,618,384",7.76,,,,,,,,,IN(764),2011m10,No,10-Oct-24
4677,C9CVJJABGUR4SNKEH591BYS9F108F3,Vaayu India Wind Power Project in Andhra Pradesh,PA,LARGE,1,ACM0002 11.0,Wind,Wind,Det Norske Veritas- CUK,10-06-10,18-04-11,18-04-11,12-07-11,25-04-11,End of crediting period,Registered,Fixed,25-04-11,24-04-21,"92,971",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,22-11-12,29-03-22,"830,904",7,3,"191,706",5,"639,198",50.4,Sales electricity,"64,685,614","1,583,285","7,447,062",16.84,5.05,,,,,,,,IN(690),2022m3,No,10-Oct-24
4679,WFO1YN18ZN4DI3FUZLD7CYRGLI20FT,Kohinoor Wind Power Project in Rajasthan,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),23-06-10,13-04-11,13-04-11,11-07-11,25-04-11,End of crediting period,Registered,Fixed,25-04-11,24-04-21,"37,741",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-04-13,02-04-13,"42,995",1,1,"42,995",, -   ,24,Sales electricity,"30,434,316","930,831","3,766,220",15.94,7.19,,,,,,,,IN(689),2013m4,No,10-Oct-24
4693,WS43HA4QGREUAPFKQR7K8FBE0TAW9I,"2.10 MW Wind Power Project by M/s Chhotabhai Jethabhai Patel & Co. (CJP) at Belwa Ranaji Village, Shergarh Taluka, Jodhpur District, Rajasthan, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RINA Services S.p.A. (RINA),15-05-10,15-04-11,15-04-11,18-07-11,15-04-11,End of crediting period,Registered,Fixed,15-04-12,14-04-22,"3,445",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,01-09-21,01-09-21,"22,001",1,, -   ,1,"22,001",2.1,Sales electricity,"2,451,363","44,960","344,535",14.14,9.2,11.56,,,,,,,IN(685),2021m9,No,10-Oct-24
4700,PD9Y4V34BLRUET5SMJD5FTAMYXPD92,Vaayu India Wind Power Project in Gujarat.,PA,LARGE,1,ACM0002 11.0,Wind,Wind,Det Norske Veritas- CUK,12-08-10,26-04-11,26-04-11,29-07-11,09-05-11,End of crediting period,Registered,Fixed,01-06-11,31-05-21,"106,378",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-11-12,09-02-22,"754,434",7,2,"148,872",5,"605,562",51.2,Sales electricity,"65,712,370","1,609,240","8,855,147",16.84,8.07,,Issuance Process,Waiting for clarification,31-05-21,,,,IN(698),2022m2,No,10-Oct-24
4709,ICL2ZAYPB65WGJLDGRYQHG8G3CO89G,3.2 MW wind power project of Agro Solvent Products Pvt. Ltd. at Jodha village of Jaisalmer district in Rajasthan state”,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),24-09-10,18-04-11,30-05-11,11-07-11,30-05-11,End of crediting period,Registered,Fixed,01-07-11,30-06-21,"5,065",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,23-02-16,19-01-23,"31,944",2,1,"5,884",2,"26,060",3.2,Sales electricity,"3,791,852","45,337","484,404",15.9,9.98,15.9,Issuance Process,Corrective actions without response,10-06-15,,,,IN(710),2023m1,No,10-Oct-24
4718,O2P9HIWNEHV48AEK9KXDW8XM8PIEI2,4.5MW Wind Power Project by Hira Group,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,28-08-10,19-04-11,19-04-11,12-07-11,19-04-11,End of crediting period,Registered,Renewable,19-04-11,18-04-18,"8,802",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,29-03-16,29-03-16,"24,263",1,1,"14,834",1,"9,429",4.5,None,"6,808,870",,,,,,Issuance Process,Corrective actions without response,20-11-14,,,,IN(687),2016m3,Yes,10-Oct-24
4739,49PPVPOWWB4UKGP9JD1TKXNBR5OOIP,"4.5 MW Bundled Wind Power Project in Karnataka, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,TÜV Rheinland (China) Ltd. (TÜV Rheinland),26-03-10,25-04-11,22-06-11,12-09-11,22-06-11,End of crediting period,Registered,Fixed,22-06-11,21-06-21,"9,672",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,31-03-15,31-03-15,"6,487",1,1,"6,487",, -   ,4.5,None,"6,399,133",,,12.25,9.9,12.25,Issuance Process,Corrective actions without response,27-10-14,,,,IN(720),2024m2,No,10-Oct-24
4740,R8T8MO90FCBZH1L3VQP5F06JIFSG21,18 MW Wind energy project by Indowind Energy Limited,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Det Norske Veritas- CUK,11-07-09,12-05-11,22-09-11,27-12-11,22-09-11,End of crediting period,Registered,Renewable,15-12-11,14-12-18,"39,079",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-09-13,09-09-13,"42,233",1,1,"39,071",1,"3,162",18,Sales electricity,"27,431,169","69,361","362,440",12.75,8.81,12.77,,,,,,,IN(758),2013m9,Yes,10-Oct-24
4748,OB4275NEMX6OHJZNJ308VFTLRCQAN7,3.375 MW Wind Power Project by AAA Corporation Pvt. Ltd.,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,04-07-09,02-05-11,02-05-11,15-07-11,02-05-11,End of crediting period,Registered,Fixed,01-06-11,31-05-21,"7,363",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,3.38,Sales electricity,"3,922,013","118,702","629,605",12.5,10.97,13.93,,,,,,,IN(692),2011m5,No,10-Oct-24
4756,6F92LAJ7ZAGAUDLEMPLC5CKL8KKDS5,21 MW Wind Power Project by Indian Oil Corporation Limited in Gujarat,PA,LARGE,1,ACM0002 11.0,Wind,Wind,Det Norske Veritas- CUK,14-01-10,06-05-11,06-05-11,08-08-11,23-05-11,End of crediting period,Registered,Renewable,23-05-11,22-05-18,"37,092",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,21,Sales electricity,"31,207,250","944,055","3,836,782",13.85,7.69,11.58,Issuance Process,Corrective actions without response,26-04-15,,,,IN(706),2015m4,Yes,10-Oct-24
4759,19Y4NZ0JMLWAZRHPQ4KS6GFYBC2QE7,Kadamane Mini Hydel Scheme – 2,PA,LARGE,1,ACM0002 12.3.0,Hydro,Run of river,TÜV SÜD South Asia Private Limited (TÜV SÜD),14-01-09,03-05-11,03-05-11,20-07-11,04-05-11,End of crediting period,Registered,Renewable,04-05-11,03-05-18,"48,195",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-05-12,21-04-22,"211,090",4,3,"57,179",2,"153,911",15,Sales electricity,"24,054,054","559,718","3,193,761",14.31,11.71,14.67,,,,,,,IN(696),2022m4,Yes,10-Oct-24
4760,F6GT20QKMW3G6AOEUUNKK0UD2RG3F3,"Bundled Wind Power Project in Tamil Nadu, India, co-ordinated by Tamil Nadu Spinning Mills Association (TASMA-II)",PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),09-06-10,04-05-11,19-12-11,09-03-12,19-12-11,End of crediting period,Registered,Fixed,18-12-12,17-12-22,"759,344",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,18-11-16,18-11-16,"2,404,533",1,, -   ,1,"2,404,533",460.18,None,"115,690,528",,,,,,Issuance Process,Operating under CDM,01-07-18,,,,IN(794),2021m4,No,10-Oct-24
4761,WJ8QI0K7U3UZ0FXTOOBKQUPFMYADE3,"2.5 MW Wind Power Project by M/s Marudhar Fashions, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,04-06-10,03-05-11,03-05-11,21-07-11,03-05-11,End of crediting period,Registered,Fixed,03-05-11,02-05-21,"3,774",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.5,None,"3,069,414",,,11.5,9.77,12.54,,,,,,,IN(693),2011m5,No,10-Oct-24
4767,YIJUCFA53BNDE44FGJQQM17T3FLMV8,WIND PROJECT ACTIVITY BY IDEAL DETONATORS PVT LIMITED,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),24-02-10,04-05-11,04-05-11,11-07-11,04-05-11,End of crediting period,Registered,Fixed,04-05-12,03-05-22,"4,217",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.1,None,"2,231,913",,,15.36,11.1,20.03,,,,,,,IN(695),2021m12,No,10-Oct-24
4772,HIQD9O9R3DHIJ3EWET6OMEGYUZV5G0,Improved Cook Stoves CDM project of SAMUHA,PA,SMALL,3,AMS-II.G. 3.0,EE households,Stoves,Perry Johnson Registrars Carbon Emissions Services (PJRCES)    ,30-06-10,09-05-11,09-05-11,29-07-11,12-05-11,End of crediting period,Registered,Fixed,01-08-11,31-07-21,"46,668",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(699),2011m5,No,10-Oct-24
4776,3A5UYHPO8SISCX8T4BJ1AMN6SO780J,Run-of-the-river Hydroelectric Power Project in Uttarakhand by Alaknanda Hydro Power Company Limited.,PA,LARGE,1,ACM0002 12.3.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),14-01-09,06-05-11,09-06-11,06-09-11,09-06-11,End of crediting period,Registered,Fixed,15-03-13,14-03-23,"1,204,120",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,14-01-21,18-08-22,"6,196,321",5,, -   ,5,"6,196,321",330,Sales electricity,"448,194,112","13,937,782","54,783,236",11.33,9.7,11.93,,,,,,,IN(713),2022m8,No,10-Oct-24
4786,L0IKL5CXU1KGUPGCV0X3QJJSFF3DFC,Empowerment of residential house-holds for adoption of efficient house-hold lighting by distribution of CFL lamps at token Price in the District of Ahmedabad (India),PA,SMALL,3,AMS-II.J. 4.0,EE households,Lighting,RWTÜV GmbH,12-06-10,12-05-11,14-07-11,30-09-11,14-07-11,End of crediting period,Registered,Fixed,01-08-11,31-07-21,"36,167",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,"870,000",,,,,,,,,,,,IN(728),2011m7,No,10-Oct-24
4813,8TAOEAFMJ8AW3Y261LB0SYSQA63BC2,"Wind Power Project by Bhabani Pigments Pvt. Ltd. at Tamilnadu, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,17-09-10,17-05-11,17-05-11,15-07-11,17-05-11,End of crediting period,Registered,Fixed,19-05-12,18-05-22,"3,370",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,01-12-23,01-12-23,"17,420",1,1,"1,635",1,"15,785",1.5,Sales electricity,"1,967,909","36,167","268,147",12.96,10.52,14.88,,,,,,,IN(705),2023m12,No,10-Oct-24
4816,HIIP1IDGP42ON6AEYGIBU4WH9RWOW7,Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project,PA,LARGE,1,ACM0006 12.1.0,Biomass Energy,Bagasse power,SGS United Kingdom Limited (SGS),18-12-08,17-05-11,29-11-12,29-07-13,19-03-13,End of crediting period,Registered,Fixed,19-03-13,18-03-23,"64,480",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,30,None,,,,,30.94,,,,,,,,IN(1437),2013m3,No,10-Oct-24
4818,JOUI5BA4DLQS9MVXDKRLL1HHFVQ4M3,24 MW Dummagudem Hydel project by SLS Power Corporation Limited,PA,LARGE,1,ACM0002 11.0,Hydro,Run of river,RWTÜV GmbH,10-04-10,17-05-11,28-06-11,03-01-12,11-10-11,End of crediting period,Registered,Fixed,10-10-13,09-10-23,"89,267",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,21-06-16,09-06-22,"164,799",2,, -   ,2,"164,799",24,Sales electricity,"38,395,147","1,315,422","7,311,257",13.25,12.76,15.33,Issuance Process,Corrective actions without response,31-12-21,,,,IN(770),2022m6,No,10-Oct-24
4828,T75O751QXNTM82IQ0KN5FUQNSRZ155,"Natural Gas based grid connected power project at Peddapuram, A.P. by Gautami Power Limited",PA,LARGE,1,AM0029 3.0,Fossil fuel switch,New natural gas plant,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),30-12-09,20-05-11,09-09-11,16-12-11,09-09-11,End of crediting period,Registered,Fixed,09-09-11,08-09-21,"1,293,422",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,07-08-14,25-01-19,"1,036,064",2,2,"437,687",1,"598,377",469,Sales electricity,"315,457,413","137,604,699","190,797,346",,,,,,,,,,IN(748),2019m1,No,10-Oct-24
4831,LU03G5NL45HBTDICDSA0VWQ7VCSQT8,India-FaL-G Brick and Blocks Project No.3,PA,SMALL,4,AMS-III.Z. 3.0,EE Industry,Building materials,Det Norske Veritas- CUK,25-11-09,22-09-11,03-02-12,14-09-12,11-05-12,End of crediting period,Registered,Fixed,01-07-12,30-06-22,"46,728",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,09-09-15,09-09-15,"48,727",1,1,"14,031",1,"34,696",,None,,,,,,,,,,,,,IN(862),2020m7,No,10-Oct-24
4846,TV25XTA3IEB805L8WBQ393HTAFPIVQ,Wind Power Project in Tirunelveli Tamilnadu,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),05-01-11,25-05-11,08-07-11,29-09-11,08-07-11,End of crediting period,Registered,Fixed,08-07-11,07-07-21,"16,360",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,03-05-13,11-08-21,"93,557",2,2,"16,525",1,"77,032",8,Sales electricity,"10,172,048","244,283","1,257,846",16.4,8.14,,,,,,,,IN(724),2021m8,No,10-Oct-24
4848,6BLYO2WUMBJR43922LAW79OC5AWQUQ,Wind power project by PMPL in Maharashtra,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,10-01-08,24-05-11,16-08-11,18-11-11,16-08-11,End of crediting period,Registered,Fixed,16-08-11,15-08-21,"22,489",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-01-15,16-01-15,"13,940",1,1,"13,940",, -   ,15,Sales electricity,"17,062,496","438,605","2,624,080",14.52,10.71,,,,,,,,IN(741),2022m6,No,10-Oct-24
4851,EHSY4L5VTQT20H3DTS706XS7Y4HKGE,Bagepalli CDM Reforestation Programme,PA,LARGE,14,AR-AM0004 4.0,Reforestation,Reforestation,TÜV SÜD South Asia Private Limited (TÜV SÜD),31-08-10,24-05-11,24-05-11,19-08-11,27-05-11,Registered,Registered,Renewable,25-01-08,24-01-28,"92,103",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,,None,,,,,,,,,,,,,IN(708),2011m5,No,10-Oct-24
4856,J7VSWAYIRNTFQA6UGFUAYVZAGK5MX4,"Abohar Branch Canal Based Small Hydro Project in Punjab, India",PA,SMALL,1,AMS-I.D. 16.0,Hydro,Existing dam,TÜV SÜD South Asia Private Limited (TÜV SÜD),22-09-09,25-05-11,28-12-11,22-03-12,28-12-11,End of crediting period,Registered,Fixed,28-12-11,27-12-21,"23,527",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,30-08-13,05-01-23,"177,297",3,2,"23,518",2,"153,779",5.3,None,"13,702,097",,,16.7,10.25,,,,,,,,IN(800),2023m1,No,10-Oct-24
4877,FYPAQ52NJB35JZRDUIC0GVD36E6S33,Bannari Amman Spinning Mills Wind Power Project managed by Enercon (India) Ltd.,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SIRIM QAS INTERNATIONAL SDN.BHD (SIRIM),06-02-10,02-06-11,02-06-11,09-09-11,17-06-11,End of crediting period,Registered,Fixed,01-08-11,31-07-21,"21,329",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,12-04-13,12-04-13,"14,753",1,1,"14,753",, -   ,11.2,Sales electricity,"13,357,281","406,048","1,701,489",15.65,8.43,,,,,,,,IN(716),2019m2,No,10-Oct-24
4879,5DETEW54AACESI78KK7674WYB01DO5,Bundled green power supply to grid,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,10-09-09,08-06-11,24-07-11,17-10-11,24-07-11,End of crediting period,Registered,Fixed,24-07-11,23-07-21,"21,765",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,10.95,None,"7,592,191",,,11,8.93,11.21,,,,,,,IN(736),2024m8,No,10-Oct-24
4886,PLFP1M4BZSMVARQYVB1HRVG0EJJB57,"6.5 MW cogeneration project in Akbarpur, Punjab.",PA,SMALL,1,AMS-I.C. 18.0,Biomass Energy,Agricultural residues: rice husk,TÜV Rheinland (China) Ltd. (TÜV Rheinland),31-12-09,12-06-11,12-06-11,12-09-11,20-06-11,End of crediting period,Registered,Fixed,19-06-12,18-06-22,"35,044",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,6.5,Sales electricity,"5,629,482","2,547,756","3,637,512",10.75,7.99,15.05,Registration Process,Operating under CDM,01-07-16,,,,IN(718),2022m12,No,10-Oct-24
4892,8OVQKEZZQE8ZI5S60GDQG0YRDJLIH1,1.2 MW Wind Power Generation Project in Gujarat for Hotel Golden Emerald,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,09-12-09,09-06-11,09-06-11,02-09-11,09-06-11,End of crediting period,Registered,Fixed,01-08-12,31-07-22,"2,623",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-09-21,16-09-21,"15,713",1,, -   ,1,"15,713",1.2,Sales electricity,"1,881,365","33,096","248,803",13,10.86,13.73,,,,,,,IN(714),2021m10,No,10-Oct-24
4898,Z2B8K7H15Z5162NW6BWYGEKCHTX7GZ,5.35 MW Wind Power Project by GeeCee Ventures Ltd,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,Lloyd’s Register Quality Assurance Ltd. (LRQA)    ,01-09-10,13-06-11,13-06-11,05-09-11,13-06-11,End of crediting period,Registered,Fixed,01-07-11,30-06-21,"8,274",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,15-12-14,15-12-14,"14,280",1,1,"8,302",1,"5,978",5.35,None,"6,652,206",,,11.5,9.95,12.75,,,,,,,IN(715),2014m12,No,10-Oct-24
4920,YRZJ6XR35ZPBMLKCIQNYDMWM268924,"4.5 MW wind power project of PCI Limited at Gujarat, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,27-05-09,27-06-11,20-09-11,27-12-11,20-09-11,End of crediting period,Registered,Renewable,20-09-11,19-09-18,"9,239",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,08-09-22,12-09-22,"37,112",2,1,"6,742",1,"30,370",4.5,Sales electricity,"7,048,761","179,520","870,842",12,10.34,14.72,,,,,,,IN(755),2022m9,Yes,10-Oct-24
4930,DLXOPS48VLRQTOQINA3FABCGMWXRM7,Vaayu India Wind Power Project in Tamilnadu,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Det Norske Veritas- CUK,15-04-10,27-06-11,27-06-11,10-10-11,19-07-11,End of crediting period,Registered,Fixed,19-07-11,18-07-21,"103,612",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-10-12,07-04-22,"747,240",8,3,"130,029",6,"617,211",50.4,Sales electricity,"64,685,614","1,583,285","8,037,549",16.84,6.23,,,,,,,,IN(733),2022m4,No,10-Oct-24
4942,C22IMQDUO52BK30BTV7X230N419Z8H,Cepco Wind Power Project in Rajasthan,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Det Norske Veritas- CUK,01-07-10,30-06-11,30-06-11,07-10-11,15-07-11,End of crediting period,Registered,Fixed,15-07-11,14-07-21,"36,425",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,16-04-13,29-07-22,"256,529",3,2,"39,996",2,"216,533",23.2,Sales electricity,"29,867,007","749,016","3,606,767",11.5,7.35,,,,,,,,IN(729),2022m7,No,10-Oct-24
4956,KI8Y8DNIDZVIRS9CXH1SWAYX7SZTVX,Renewable Energy Wind Power Project in Karnataka,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),31-12-10,04-07-11,04-07-11,26-09-11,04-07-11,End of crediting period,Registered,Fixed,20-08-11,19-08-21,"12,284",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,02-04-13,14-04-22,"105,409",4,2,"18,718",3,"86,691",6.4,Sales electricity,"8,137,639","186,427","1,030,705",16.4,5.83,,,,,,,,IN(722),2022m4,No,10-Oct-24
4959,1DSKUBDHD0AFU0HA7VDPTW2JM8CZ8E,16.875 MW Large Scale Grid Connected Wind Electricity Generation Project by Indian Renewable Energy Foundation,PA,LARGE,1,ACM0002 12.3.0,Wind,Wind,Bureau Veritas Certification Holding SAS (BVCH),07-12-08,01-07-11,22-09-11,22-12-11,22-09-11,End of crediting period,Registered,Fixed,22-09-11,21-09-21,"33,731",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,16.88,Sales electricity,"22,247,360","284,062","3,150,840",18.95,14.02,,,,,,,,IN(757),2011m9,No,10-Oct-24
4964,HZ71HCGMVWBSLX4COTU7NONB1ILUBE,"Bundled Wind Power Project in Jamnagar, Gujarat",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,SGS United Kingdom Limited (SGS),06-01-11,04-07-11,04-07-11,06-10-11,15-07-11,End of crediting period,Registered,Fixed,01-09-11,31-08-21,"18,541",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-05-13,26-10-23,"80,415",2,2,"21,445",1,"58,970",9.6,Sales electricity,"8,473,854","205,286","1,064,364",16.4,8.79,16.25,,,,,,,IN(730),2024m7,No,10-Oct-24
4976,D8Q4GN1LIV1WYCIOLXI8YJBIO1FXUT,"2.1 MW wind power project of Jose Thomas Pattara at Tamil Nadu, India",PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,08-08-09,12-07-11,12-07-11,09-02-12,19-10-11,End of crediting period,Registered,Fixed,19-10-11,18-10-21,"4,682",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,2.1,Sales electricity,"3,024,626","112,034","399,703",12.5,10.44,13.18,,,,,,,IN(776),2011m10,No,10-Oct-24
4985,WK5K7R5CXH4RQ1B2OVLGP1VGPFNW2V,"Sarbari II Hydro Power Project by DSL Hydrowatt Limited in Kullu, Himachal Pradesh",PA,SMALL,1,AMS-I.D. 16.0,Hydro,Run of river,Bureau Veritas Certification Holding SAS (BVCH),06-02-10,18-07-11,18-07-11,17-10-11,28-07-11,Registered with issuances,Registered,Renewable,28-07-11,27-07-18,"27,118",Renewed,30-08-18,30-08-18,"29,936.00",28-07-18,27-07-25,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,17-06-14,17-05-16,"81,246",2,1,"15,673",1,"65,573",5.4,None,"11,795,381",,,,,,,,,,,,IN(737),2018m8,No,10-Oct-24
4990,SS957A44EKSNNEGK5JXKKGPZGN6BS5,15 MW Wind Power Project by Shriram Leitwind Ltd,PA,SMALL,1,AMS-I.D. 16.0,Wind,Wind,RWTÜV GmbH,13-11-09,14-08-11,12-01-12,03-04-12,12-01-12,End of crediting period,Registered,Renewable,12-01-12,11-01-19,"32,519",,,, -   ,,,,,, -   ,,,IN,"ASP,NAI",No,Asia,No,Southern Asia,,, -   , -   ,,,,,15,Sales electricity,"20,000,903","368,427","2,087,069",13.75,7.9,11.38,,,,,,,IN(809),2012m1,Yes,10-Oct-24
